2025-04-29 13:12:08,828 - INFO - Added office for Joni Ernst in Davenport, IA
2025-04-29 13:12:08,828 - INFO - Added office for Joni Ernst in Des Moines, IA
2025-04-29 13:12:08,829 - INFO - Added office for Joni Ernst in Sioux City, IA
2025-04-29 13:12:08,829 - INFO - Added office for Joni Ernst in Council Bluffs, IA
2025-04-29 13:12:08,830 - INFO - Added office for Dwight Evans in Philadelphia, PA
2025-04-29 13:12:08,830 - INFO - Added office for Dwight Evans in Philadelphia, PA
2025-04-29 13:12:08,830 - INFO - Added office for Adriano Espaillat in New York, NY
2025-04-29 13:12:08,830 - INFO - Added office for Adriano Espaillat in New York, NY
2025-04-29 13:12:08,831 - INFO - Added office for Adriano Espaillat in Bronx, NY
2025-04-29 13:12:08,831 - INFO - Added office for Ron Estes in Wichita, KS
2025-04-29 13:12:08,831 - INFO - Added office for Veronica Escobar in El Paso, TX
2025-04-29 13:12:08,832 - INFO - Added office for Pat Fallon in Rockwall, TX
